"tweet_id","type","probability","text"
1331759495551221760,"Person",0.3348,"Covid"
1331759494657871872,"Organization",0.6594,"Corner Brook"
1331750821030146051,"Person",0.9862,"Biden"
1331750821030146051,"Place",0.9517,"U.S."
1331746357447708674,"Place",0.399,"City of Toronto"
1331725978163359748,"Place",0.9754,"Canada"
1331725605059125249,"Place",0.9961,"Canada"
1331725605059125249,"Place",0.9519,"US"
1331725605059125249,"Person",0.9383,"Flynn"
1331725605059125249,"Person",0.9787,"Justin"
1331725605059125249,"Place",0.9981,"Canada"
1331724511213981699,"Place",0.7365,"Toronto"
1331724511213981699,"Organization",0.4142,"Adamson Barbecue"
1331724511213981699,"Place",0.7652,"Toronto"
1331724511213981699,"Person",0.8735,"John Tory"
1331724511213981699,"Person",0.9953,"Adam Kelly"
1331722448568545280,"Place",0.7198,"Ontario"
1331720793605206016,"Place",0.9528,"Ontario"
1331720793605206016,"Other",0.9223,"Xmas"
1331719338240466948,"Place",0.9927,"Ontario"
1331718813998608384,"Place",0.9702,"Canada"
1331717103511023619,"Place",0.8827,"Ontario"
1331715611764854785,"Place",0.9798,"Canada"
1331711256487596032,"Place",0.9979,"Canada"
1331711172597387264,"Place",0.9755,"Canada"
1331710196922585091,"Organization",0.383,"Government of Ontario"
1331710196922585091,"Organization",0.4373,"Chief Medical Officer of Health"
1331710196922585091,"Organization",0.7479,"Public Health Measures Table"
1331708406864875520,"Place",0.9974,"China"
1331707987656908804,"Place",0.9992,"Toronto"
1331707987656908804,"Place",0.7876,"Ontario"
1331707973324976128,"Organization",0.371,"GTA"
1331707973324976128,"Person",0.9968,"Adam Skelly"
1331701828350664704,"Place",0.6809,"Ontario"
1331701828350664704,"Place",0.6914,"Ontario"
1331701828350664704,"Place",0.907,"Ontario"
1331690404652134406,"Organization",0.7185,"PayPal Canada"
1331688446633635842,"Place",0.9364,"Vancouver"
1331688446633635842,"Place",0.6848,"Downtown Eastside"
1331688430414262274,"Person",0.857,"Leon"
1331688430414262274,"Place",0.9494,"Toronto"
1331688430414262274,"Place",0.9738,"Niagara"
1331687842171539457,"Person",0.857,"Leon"
1331687842171539457,"Place",0.9494,"Toronto"
1331687842171539457,"Place",0.9738,"Niagara"
1331686969949122560,"Place",0.7576,"Etobicoke"
1331686969949122560,"Place",0.98,"Richmond"
1331684507842330625,"Person",0.924,"Jason Kenney"
1331684309804199937,"Person",0.9614,"Mr Shelly"
1331684309804199937,"Place",0.9877,"Canada"
1331684309804199937,"Place",0.9901,"America"
1331682776970653696,"Place",0.9538,"Canada"
1331681660505640960,"Place",0.9965,"Toronto"
1331681660505640960,"Place",0.9946,"Toronto"
1331681566779650048,"Place",0.8843,"U.S."
1331676259940708358,"Place",0.9872,"TORONTO"
1331676259940708358,"Place",0.5502,"CANADA"
1331676259940708358,"Place",0.4211,"Adamson Barbecue"
1331676259940708358,"Person",0.9641,"Adam Skelly"
1331676259940708358,"Organization",0.7064,"Coronavirus"
1331674511784210434,"Place",0.8976,"Ontario"
1331672451005210624,"Place",0.91,"Ontario"
1331672451005210624,"Place",0.9908,"Australia"
1331672451005210624,"Place",0.9704,"South Korea"
1331672011005775872,"Place",0.4303,"Canada"
1331672011005775872,"Place",0.2736,"Toronto"
1331672011005775872,"Place",0.3727,"Adamson Barbecue"
1331672011005775872,"Person",0.9467,"Adam Skelly"
1331669247249031169,"Person",0.9978,"Derek Drouillard"
1331669247249031169,"Place",0.9897,"Ontario"
1331668433600122885,"Place",0.9981,"Canada"
1331668433600122885,"Organization",0.438,"Covid"
1331666290625437697,"Place",0.989,"Canada"
1331666290625437697,"Other",0.9942,"Thanksgiving"
1331665922675929094,"Place",0.6777,"Ontario"
1331665262194487296,"Place",0.9993,"Canada"
1331665262194487296,"Person",0.9758,"Trudeau"
1331664732240175110,"Place",0.9873,"Canada"
1331661650395500544,"Place",0.9989,"Argentina"
1331661650395500544,"Place",0.9976,"Peru"
1331661650395500544,"Place",0.9172,"Estados Unidos"
1331661650395500544,"Place",0.9982,"Brasil"
1331661650395500544,"Place",0.5605,"Nova Zelândia"
1331661650395500544,"Place",0.9969,"Canadá"
1331660670564261891,"Place",0.9801,"Toronto"
1331660252421435392,"Person",0.2218,"Mak Parhar"
1331659624844578822,"Place",0.9873,"Canada"
1331659516396572674,"Person",0.9946,"Brian Mulroney"
1331659414194032640,"Person",0.4892,"Ford"
1331658468739133440,"Organization",0.6105,"The Premier"
1331658468739133440,"Place",0.9986,"Canada"
1331651733764726786,"Place",0.1956,"Argentina Napoli"
1331651733764726786,"Place",0.7993,"Ontario"
1331651733764726786,"Place",0.5117,"London Israel"
1331651733764726786,"Person",0.8806,"Trump"
1331651508887302145,"Place",0.3965,"B.C. LNG"
1331651508887302145,"Place",0.8123,"Canada"
1331650073428697091,"Place",0.7913,"Ontario"
1331650073428697091,"Organization",0.6598,"CBC News"
1331649589095653376,"Place",0.9886,"Ontario"
1331647585673748481,"Person",0.9961,"Dr. Russell"
1331647585673748481,"Organization",0.5047,"Public Health"
